date;doy;time;temp;pressure;humidity;pmy1;pmy2;pmy3;pmy4;pmy5;X;Y;Z;B;L
2021-10-06;255;00:00:00;22.0;100273;68;0;0;0;9999;9999;0;0;0;51.1146487520088;17.0711846678134
2021-10-06;255;00:00:01;30.0;100267;64;12;26;26;18;26;0;0;0;51.1146616525432;17.0710603508181
2021-10-06;255;00:00:02;34.0;100268;62;18;34;34;24;35;0;0;0;51.114674553077705;17.0709360338229
2021-10-06;255;00:00:03;22.0;100265;60;15;26;28;19;30;0;0;0;51.114687453612206;17.0708117168276
2021-10-06;255;00:00:04;26.0;100270;59;16;25;28;18;30;0;0;0;51.114700354146606;17.0706873998324
2021-10-06;255;00:00:05;31.0;100264;57;16;27;29;20;32;0;0;0;51.1147132546811;17.0705630828371
2021-10-06;255;00:00:06;35.0;100265;56;16;28;32;21;36;0;0;0;51.1147261552156;17.070438765841903
2021-10-06;255;00:00:07;40.0;100263;55;16;28;29;21;33;0;0;0;51.11473905575;17.0703144488466
2021-10-06;255;00:00:08;27.0;100258;56;16;27;29;20;32;0;0;0;51.1147519562845;17.0701901318514
2021-10-06;255;00:00:09;30.0;100261;56;16;27;28;20;31;0;0;0;51.114764856819;17.0700658148561
2021-10-06;255;00:00:10;27.0;100261;54;16;27;28;20;32;0;0;0;51.1147777573534;17.069941497860903
2021-10-06;255;00:00:11;21.0;100263;54;16;27;28;20;32;0;0;0;51.114790657887895;17.0698171808656
2021-10-06;255;00:00:12;39.0;100264;56;16;27;28;20;31;0;0;0;51.114803558422395;17.0696928638704
2021-10-06;255;00:00:13;24.0;100261;55;18;28;29;21;33;0;0;0;51.114816458956795;17.0695685468751
2021-10-06;255;00:00:14;23.0;100261;59;48;40;56;51;43;0;0;0;51.1148293594913;17.069444229879903
2021-10-06;255;00:00:15;33.0;100261;51;55;51;41;60;60;0;0;0;51.114842260025796;17.069319912884602
2021-10-06;255;00:00:16;30.0;100263;56;59;57;59;60;57;0;0;0;51.11485516056021;17.0691955958894
2021-10-06;255;00:00:17;35.0;100264;56;49;44;42;48;46;0;0;0;51.114868061094704;17.0690712788941
2021-10-06;255;00:00:18;30.0;100261;55;46;44;53;42;46;0;0;0;51.1148809616292;17.068946961898902
2021-10-06;255;00:00:19;38.0;100261;48;56;53;50;42;45;0;0;0;51.1148938621636;17.0688226449037
2021-10-06;255;00:00:20;38.0;100261;57;56;48;43;56;43;0;0;0;51.1149067626981;17.0686983279084
2021-10-06;255;00:00:21;35.0;100263;46;52;58;46;46;48;0;0;0;51.114919663232605;17.0685740109132
2021-10-06;255;00:00:22;20.0;100264;41;56;42;54;52;54;0;0;0;51.114932563767006;17.068449693917902
2021-10-06;255;00:00:23;21.0;100261;54;41;59;41;44;42;0;0;0;51.1149454643015;17.0683253769227
2021-10-06;255;00:00:24;29.0;100273;44;44;51;51;43;54;0;0;0;51.114958364836;17.0682010599274
2021-10-06;255;00:00:25;37.0;100267;44;46;52;47;54;41;0;0;0;51.1149712653704;17.0680767429322
2021-10-06;255;00:00:26;37.0;100268;55;57;52;41;52;50;0;0;0;51.11498416590489;17.0679524259369
2021-10-06;255;00:00:27;22.0;100265;51;57;44;56;51;51;0;0;0;51.1149970664394;17.067828108941697
2021-10-06;255;00:00:28;27.0;100270;60;49;53;52;52;48;0;0;0;51.1150099669738;17.0677037919464
2021-10-06;255;00:00:29;22.0;100264;53;49;51;42;56;51;0;0;0;51.115022867508294;17.0675794749512
2021-10-06;255;00:00:30;29.0;100265;53;51;58;40;48;55;0;0;0;51.115035768042794;17.067455157955898
2021-10-06;255;00:00:31;21.0;100263;47;58;55;46;60;51;0;0;0;51.1150486685772;17.067330840960697
2021-10-06;255;00:00:32;37.0;100258;54;52;42;46;44;45;0;0;0;51.1150615691117;17.0672065239654
2021-10-06;255;00:00:33;33.0;100261;60;50;45;56;54;57;0;0;0;51.1150744696462;17.0670822069702
2021-10-06;255;00:00:34;22.0;100261;44;57;58;40;54;45;0;0;0;51.115087370180596;17.066957889974898
2021-10-06;255;00:00:35;31.0;100263;53;44;57;41;46;48;0;0;0;51.115100270715104;17.066833572979696
2021-10-06;255;00:00:36;36.0;100264;43;60;58;42;54;45;0;0;0;51.1151131712496;17.0667092559844
2021-10-06;255;00:00:37;36.0;100261;59;48;43;45;50;55;0;0;0;51.115126071784;17.066584938989198
2021-10-06;255;00:00:38;28.0;100261;44;56;53;49;49;60;0;0;0;51.1151389723185;17.066460621994
2021-10-06;255;00:00:39;28.0;100261;46;58;54;40;60;52;0;0;0;51.115151872853005;17.0663363049987
2021-10-06;255;00:00:40;39.0;100263;44;59;44;58;60;42;0;0;0;51.11516477338739;17.0662119880035
2021-10-06;255;00:00:41;28.0;100264;53;45;45;45;50;45;0;0;0;51.1151776739219;17.066087671008198
2021-10-06;255;00:00:42;38.0;100261;44;52;51;44;47;56;0;0;0;51.1151905744564;17.065963354013
2021-10-06;255;00:00:43;34.0;100261;42;54;40;56;41;44;0;0;0;51.1152034749908;17.0658390370177
2021-10-06;255;00:00:44;37.0;100261;57;44;60;56;56;59;0;0;0;51.11521637552529;17.0657147200225
2021-10-06;255;00:00:45;30.0;100263;52;59;41;44;58;57;0;0;0;51.1152292760598;17.065590403027198
2021-10-06;255;00:00:46;38.0;100264;59;43;52;40;55;40;0;0;0;51.1152421765942;17.065466086032
2021-10-06;255;00:00:47;24.0;100261;54;51;56;56;55;46;0;0;0;51.11525507712871;17.0653417690367
2021-10-06;255;00:00:48;35.0;100273;51;46;57;51;44;47;0;0;0;51.1152679776632;17.065217452041498
2021-10-06;255;00:00:49;29.0;100267;42;52;56;48;44;54;0;0;0;51.1152808781976;17.065093135046197
2021-10-06;255;00:00:50;35.0;100268;41;50;47;50;50;53;0;0;0;51.1152937787321;17.064968818051
2021-10-06;255;00:00:51;32.0;100265;59;56;55;51;49;47;0;0;0;51.1153066792666;17.0648445010557
2021-10-06;255;00:00:52;30.0;100270;40;53;52;60;59;52;0;0;0;51.1153195798011;17.0647201840605
2021-10-06;255;00:00:53;24.0;100264;44;41;50;49;57;51;0;0;0;51.1153324803355;17.064595867065197
2021-10-06;255;00:00:54;28.0;100265;52;47;48;52;60;48;0;0;0;51.11534538087;17.064471550070003
2021-10-06;255;00:00:55;21.0;100263;44;40;45;41;59;47;0;0;0;51.1153582814045;17.0643472330747
2021-10-06;255;00:00:56;24.0;100258;42;51;53;48;57;47;0;0;0;51.1153711819389;17.0642229160795
2021-10-06;255;00:00:57;22.0;100261;44;46;53;54;52;58;0;0;0;51.115384082473405;17.0640985990843
2021-10-06;255;00:00:58;31.0;100261;47;40;50;53;49;46;0;0;0;51.1153969830079;17.063974282089
2021-10-06;255;00:00:59;23.0;100263;49;59;41;47;55;56;0;0;0;51.1154098835423;17.0638499650938
2021-10-06;255;00:01:00;34.0;100264;56;40;48;53;45;40;0;0;0;51.1154227840768;17.0637256480985
2021-10-06;255;00:01:01;38.0;100261;60;40;57;51;49;42;0;0;0;51.1154356846113;17.0636013311033
